Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt4158110,2026-02-12,2026-02-12,,"Mr. Robot","Mr. Robot",https://www.imdb.com/title/tt4158110/,TV Series,8.5,45,2015,"Crime, Drama, Thriller",461326,2015-06-24,,9,2024-11-18
2,tt3322312,2026-02-13,2026-02-13,,"Daredevil","Daredevil",https://www.imdb.com/title/tt3322312/,TV Series,8.6,60,2015,"Action, Crime, Drama, Sci-Fi, Thriller",523146,2015-04-10,,10,2025-10-30
3,tt11126994,2026-02-13,2026-02-13,,"Arcane","Arcane: League of Legends",https://www.imdb.com/title/tt11126994/,TV Series,9.0,40,2021,"Animation, Action, Adventure, Drama, Fantasy, Sci-Fi",434006,2021-11-06,,8,2024-11-28
4,tt10233448,2026-02-13,2026-02-13,,"Vinland Saga","Vinland Saga",https://www.imdb.com/title/tt10233448/,TV Series,8.8,24,2019,"Animation, Action, Adventure, Drama, History",127467,2019-07-06,,10,2024-09-28
5,tt6517102,2026-02-13,2026-02-13,,"Castlevania","Castlevania",https://www.imdb.com/title/tt6517102/,TV Series,8.3,23,2017,"Animation, Action, Adventure, Drama, Fantasy, Horror",93398,2017-07-07,,7,2021-05-22
6,tt2560140,2026-02-13,2026-02-13,,"Attack on Titan","Shingeki no kyojin",https://www.imdb.com/title/tt2560140/,TV Series,9.1,24,2013,"Animation, Action, Adventure, Drama, Fantasy, Horror",686682,2013-09-28,,10,2021-04-12
7,tt9679542,2026-02-13,2026-02-13,,"Dr. Stone","Dr.STONE",https://www.imdb.com/title/tt9679542/,TV Series,8.1,24,2019,"Animation, Action, Adventure, Sci-Fi",41050,2019-08-25,,10,2021-01-19
8,tt1910272,2026-02-13,2026-02-13,,"Steins;Gate","Steins;Gate",https://www.imdb.com/title/tt1910272/,TV Series,8.8,24,2011,"Animation, Comedy, Drama, Mystery, Romance, Sci-Fi, Thriller",90258,2011-04-06,,10,2020-03-23
9,tt1355642,2026-02-13,2026-02-13,,"Fullmetal Alchemist: Brotherhood","Hagane no renkinjutsushi",https://www.imdb.com/title/tt1355642/,TV Series,9.1,24,2009,"Animation, Action, Adventure, Comedy, Drama, Fantasy, Sci-Fi",242221,2009-04-09,,9,2019-09-08
10,tt3358020,2026-02-13,2026-02-13,,"Parasyte: The Maxim","Kiseijû: Sei no kakuritsu",https://www.imdb.com/title/tt3358020/,TV Series,8.2,22,2014,"Animation, Action, Drama, Horror, Sci-Fi, Thriller",61201,2016-12-31,,9,2019-07-19
11,tt5753856,2026-02-13,2026-02-13,,"Dark","Dark",https://www.imdb.com/title/tt5753856/,TV Series,8.7,60,2017,"Crime, Drama, Mystery, Sci-Fi, Thriller",531812,2017-12-01,,10,2019-07-15
12,tt7366338,2026-02-13,2026-02-13,,"Chernobyl","Chernobyl",https://www.imdb.com/title/tt7366338/,TV Mini Series,9.3,60,2019,"Drama, History, Thriller",1012850,2019-05-06,,9,2019-07-08
13,tt5249462,2026-02-13,2026-02-13,,"Erased","Boku dake ga inai machi",https://www.imdb.com/title/tt5249462/,TV Mini Series,8.4,22,2016,"Animation, Crime, Drama, Fantasy, Mystery, Sci-Fi, Thriller",72542,2016-01-08,,10,2019-06-30
14,tt0417299,2026-02-13,2026-02-13,,"Avatar: The Last Airbender","Avatar: The Last Airbender",https://www.imdb.com/title/tt0417299/,TV Series,9.3,23,2005,"Animation, Action, Adventure, Family, Fantasy, Mystery",432013,2005-02-21,,10,2019-06-30
15,tt0994314,2026-02-13,2026-02-13,,"Code Geass","Kôdo Giasu: Hangyaku no Rurûshu",https://www.imdb.com/title/tt0994314/,TV Series,8.7,24,2006,"Animation, Action, Drama, Fantasy, Sci-Fi, Thriller",100571,2008,,9,2019-06-23
16,tt2340841,2026-02-13,2026-02-13,,"Hyouka","Hyouka",https://www.imdb.com/title/tt2340841/,TV Series,7.7,24,2012,"Animation, Comedy, Drama, Family, Mystery",7502,2018-05-24,,9,2020-04-03
17,tt9458304,2026-02-13,2026-02-13,,"Dororo","Dororo",https://www.imdb.com/title/tt9458304/,TV Series,8.2,30,2019,"Animation, Action, Adventure, Fantasy, Horror",28310,2019-01-06,,10,2024-09-27
18,tt4254242,2026-02-13,2026-02-13,,"The Magicians","The Magicians",https://www.imdb.com/title/tt4254242/,TV Series,7.6,60,2015,"Drama, Fantasy, Mystery",59750,2015-12-16,,,
